City,SaleDate,Price,PricePerSqFt,Acres,Yr,Area,TBr,Bathrooms
DES MOINES,05/10/2009,67000,51.7,0.231,1916,1296,3,1
DES MOINES,07/02/2002,78000,60.19,0.231,1916,1296,3,1
DES MOINES,09/24/2001,79000,60.96,0.231,1916,1296,3,1
DES MOINES,03/25/1996,59000,39.65,0.231,1904,1488,4,1
DES MOINES,10/06/1993,43000,28.9,0.231,1904,1488,4,1
DES MOINES,07/10/2008,98430,66.15,0.231,1904,1488,4,1
DES MOINES,07/16/2004,98500,66.2,0.231,1904,1488,4,1
DES MOINES,07/19/1996,49000,29.64,0.165,1910,1653,,2
DES MOINES,07/01/1988,34430,,,,,,0
DES MOINES,11/13/1991,21000,23.33,0.127,1920,900,2,1
DES MOINES,04/28/2004,95000,105.56,0.127,1920,900,2,1
DES MOINES,05/29/1990,67000,51.66,,1907,1297,3,3
DES MOINES,06/14/2012,38000,29.3,0.256,1907,1297,3,3
DES MOINES,03/01/1999,31000,31.5,0.081,1918,984,2,1
DES MOINES,04/19/1990,29900,30.39,0.081,1918,984,2,1
DES MOINES,06/16/2006,78500,79.78,0.081,1918,984,2,1
DES MOINES,03/10/2005,67900,69,0.081,1918,984,2,1
DES MOINES,04/07/1999,70500,71.65,0.081,1918,984,2,1
DES MOINES,07/27/2004,59500,62.11,0.067,1918,958,2,1
DES MOINES,05/08/2000,30000,31.32,0.067,1918,958,2,1
DES MOINES,11/20/1987,25000,20.03,0.111,1918,1248,2,1
DES MOINES,07/18/1990,7800,6.25,0.111,1918,1248,2,1
DES MOINES,07/18/1990,6500,5.21,0.111,1918,1248,2,1
DES MOINES,07/11/2006,71400,90.38,0.136,1910,790,2,1
DES MOINES,12/14/2012,62500,79.11,0.136,1910,790,2,1
DES MOINES,10/05/2010,19500,31.25,0.121,1915,624,1,2
DES MOINES,03/08/2011,16000,25.64,0.121,1915,624,1,2
DES MOINES,06/26/1997,65000,53.81,0.242,1900,1208,3,1
DES MOINES,08/29/2014,85000,70.36,0.242,1900,1208,3,1
DES MOINES,10/14/2009,70700,58.53,0.242,1900,1208,3,1
DES MOINES,06/14/1996,30000,24.83,0.242,1900,1208,3,1
DES MOINES,03/19/1992,35650,29.51,0.242,1900,1208,3,1
DES MOINES,04/14/2014,38000,31.46,0.242,1900,1208,3,1
DES MOINES,03/01/1989,29500,24.42,0.242,1900,1208,3,1
DES MOINES,11/25/1998,40000,33.93,0.121,1903,1179,3,1
DES MOINES,12/19/2000,72250,109.47,0.242,1931,660,2,1
DES MOINES,11/05/1991,68900,48.52,0.364,1953,1420,4,2
DES MOINES,04/06/1999,87000,61.27,0.364,1953,1420,4,2
DES MOINES,08/08/1994,45000,47.27,0.182,1955,952,3,2
DES MOINES,07/18/2003,49500,52,0.182,1955,952,3,2
DES MOINES,04/06/2000,79900,83.93,0.182,1955,952,3,2
DES MOINES,03/27/2001,79900,83.93,0.182,1955,952,3,2
DES MOINES,03/10/2004,106000,111.34,0.182,1955,952,3,2
DES MOINES,06/06/1987,39000,40.97,0.182,1955,952,3,2
DES MOINES,03/20/1990,48000,50,0.182,1956,960,3,2
ANKENY,12/18/2007,150000,170.45,0.849,1920,880,2,1
ANKENY,06/29/2006,2498510,,17.71,,,,0
ANKENY,10/01/2004,165000,83.17,1.76,1979,1984,0,2
ANKENY,09/26/2002,220000,85.9,2.11,1979,2561,3,3
ANKENY,10/15/2010,310000,289.72,11.737,1958,1070,3,1
ANKENY,12/21/2007,300000,280.37,11.737,1958,1070,3,1
ANKENY,08/28/2014,132500,70.63,1.557,1971,1876,3,2
ANKENY,10/23/1997,235000,136.87,6.4,1968,1717,3,3
ANKENY,07/28/2004,409900,318.25,1.691,1928,1288,3,3
ANKENY,05/03/1996,75000,55.8,0.5,1928,1344,3,3
ANKENY,08/16/1997,155100,86.31,0.65,1990,1797,3,2
ANKENY,05/04/2010,733000,444.78,1.68,1959,1648,3,2
ANKENY,01/13/2006,500000,723.59,28.82,1989,691,1,1
ANKENY,01/13/2006,500000,498.5,28.82,1965,1003,2,1
ANKENY,08/21/2009,175000,143.91,10,1986,1216,3,2
ANKENY,08/21/2009,175000,82.24,10,1994,2128,3,2
ANKENY,03/01/2004,1379530,1496.24,78.83,1873,922,2,1
ANKENY,08/19/1993,420000,,,,,,0
ANKENY,08/19/1993,630000,,,,,,0
ANKENY,05/17/2004,3625350,,120.845,,,,0
ANKENY,01/21/2005,2034280,1834.34,81.32,1920,1109,3,1
ANKENY,04/01/2004,2920500,,118,,,,0
ANKENY,04/03/2004,265500,,118,,,,0
ANKENY,08/30/2006,286000,119.52,1.787,1900,2393,3,2
ANKENY,01/30/2007,277180,108.95,1.313,1982,2544,3,2
ANKENY,07/23/2014,128000,146.12,1.929,1920,876,2,1
ANKENY,11/19/2012,1548000,1063.19,64.45,1920,1456,3,2
ANKENY,07/08/2011,1113500,764.77,64.45,1920,1456,3,2
ANKENY,03/27/2014,4240000,2404.99,106.55,1956,1763,3,2
ANKENY,01/23/2012,390000,101.25,2.9,1973,3852,5,5
ANKENY,11/15/2013,511920,439.79,21.33,1970,1164,3,1
ANKENY,03/10/1995,129000,95.84,1.925,1966,1346,3,2
ANKENY,05/23/1993,124000,92.12,1.925,1966,1346,3,2
ANKENY,01/25/1991,63000,41.31,0.274,1939,1525,2,1
ANKENY,01/22/1992,65000,75.23,0.485,1974,864,2,1
ANKENY,04/11/2011,165000,80.65,0.625,1950,2046,3,2
ANKENY,06/01/2010,130000,75.98,0.486,1947,1711,4,2
ANKENY,03/27/2007,184000,107.54,0.486,1947,1711,4,2
ANKENY,08/15/2007,159900,110.12,0.35,1959,1452,3,3
ANKENY,03/14/1990,104000,55.67,,1959,1868,0,4
ANKENY,06/27/2005,113000,96.91,0.345,1912,1166,4,2
ANKENY,07/19/1991,66000,56.6,0.345,1912,1166,4,2
ANKENY,05/28/1993,42000,51.47,1.57,1898,816,2,1
ANKENY,02/15/2010,45000,40.76,1.57,1898,1104,2,1
ANKENY,04/06/1994,59000,53.44,1.57,1898,1104,2,1
ANKENY,06/20/2004,129500,102.21,0.242,1958,1267,3,1
ANKENY,12/17/2008,102300,68.98,0.24,1957,1483,4,2
ANKENY,07/29/2009,139000,93.73,0.24,1957,1483,3,2
ANKENY,08/04/2009,139000,93.73,0.24,1957,1483,3,2
ANKENY,11/06/2006,100000,57.37,0.24,1900,1743,4,1
ANKENY,02/28/2008,160000,87.48,0.57,1900,1829,3,2
ANKENY,09/21/2011,122500,121.53,0.269,1961,1008,3,2
ANKENY,12/12/2001,107860,107,0.269,1961,1008,2,2
ANKENY,03/25/2011,65000,64.48,0.269,1961,1008,3,2
ANKENY,02/13/2006,124900,123.91,0.269,1961,1008,2,2
ANKENY,10/01/2003,190000,123.38,3.128,1946,1540,3,2
ANKENY,08/17/1998,70000,52.36,0.39,1903,1337,0,2
ANKENY,06/03/2004,85000,138.44,0.15,1947,614,2,1
ANKENY,05/26/1999,71000,115.64,0.15,1947,614,2,1
ANKENY,06/07/2001,79000,128.66,0.15,1947,614,2,1
ANKENY,07/16/2007,90000,146.58,0.15,1947,614,2,1
ANKENY,04/24/2002,79000,128.66,0.15,1947,614,2,1
ANKENY,01/26/1998,65750,107.08,0.15,1947,614,2,1
ANKENY,05/21/2008,147900,128.39,0.167,1947,1152,2,1
ANKENY,06/19/2006,143800,124.83,0.167,1947,1152,2,1
ANKENY,12/22/1995,73480,63.78,0.167,1947,1152,2,1
ANKENY,06/30/2006,472400,,4.195,,,,0
CLIVE,04/17/2000,495000,254.37,2.07,1979,1946,3,2
CLIVE,04/17/2000,330000,,2.46,,,,0
CLIVE,01/30/2002,106500,81.36,0.117,1982,1309,2,3
CLIVE,10/22/2009,117000,89.38,0.117,1982,1309,2,3
CLIVE,04/19/2006,184500,83.86,0.234,1976,2200,4,4
CLIVE,10/28/2014,213000,96.82,0.229,1976,2200,4,4
CLIVE,10/16/2000,141900,110.6,0.193,1978,1283,3,3
CLIVE,05/27/2010,167500,130.55,0.193,1978,1283,3,3
CLIVE,07/07/2003,167900,137.17,0.193,1977,1224,3,3
CLIVE,09/14/1999,139900,70.44,0.193,1978,1986,3,3
CLIVE,05/10/2011,170000,85.6,0.193,1978,1986,3,3
CLIVE,03/08/2005,171500,86.35,0.193,1978,1986,3,3
CLIVE,10/23/1998,126500,99.37,0.193,1978,1273,3,3
CLIVE,11/21/2012,180000,101.24,0.192,1977,1778,4,3
CLIVE,11/28/1990,132500,69.48,0.228,1976,1907,4,4
CLIVE,08/01/2003,235000,111.64,0.228,1976,2105,4,4
CLIVE,03/27/2014,247000,117.34,0.228,1976,2105,4,4
CLIVE,07/07/2005,184500,104.71,0.215,1976,1762,4,3
